Name,Platform,Year,Genre,Publisher,Rank,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
NBA 09: The Inside,PSP,2008.0,Sports,Sony Computer Entertainment,8327,0.17,0.16,0.0,0.0,0.01
Transformers: Prime,3DS,2012.0,Action,Activision,8328,0.17,0.13,0.03,0.0,0.01
Batman Begins,GBA,2005.0,Action,Electronic Arts,8329,0.17,0.12,0.05,0.0,0.0
Transformer: Rise of the Dark Spark,X360,2014.0,Action,Activision,8330,0.17,0.09,0.07,0.0,0.02
Glover,PS,1999.0,Platform,Atari,8331,0.17,0.09,0.06,0.0,0.01
Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,8332,0.17,0.12,0.05,0.0,0.0
Luxor 3,Wii,2008.0,Puzzle,Mumbo Jumbo,8333,0.17,0.16,0.0,0.0,0.01
Bratz Kidz,Wii,2008.0,Misc,Game Factory,8334,0.17,0.16,0.0,0.0,0.01
Fairytale Fights,X360,2009.0,Action,Playlogic Game Factory,8335,0.17,0.14,0.02,0.0,0.01
James Cameron's Dark Angel,PS2,,Action,Universal Interactive,8336,0.17,0.08,0.07,0.0,0.02
MotoGP 09/10,X360,2010.0,Racing,Capcom,8337,0.17,0.07,0.09,0.0,0.02
Mahjong Fight Club,PSP,2004.0,Misc,Konami Digital Entertainment,8338,0.17,0.0,0.0,0.17,0.0
World Driver Championship,N64,1999.0,Racing,Midway Games,8339,0.17,0.14,0.03,0.0,0.0
Bomberman 64: The Second Attack!,N64,1999.0,Adventure,Hudson Soft,8340,0.17,0.05,0.01,0.11,0.0
Turok 3: Shadow of Oblivion,N64,2000.0,Shooter,Acclaim Entertainment,8341,0.17,0.12,0.05,0.0,0.0
Spawn: Armageddon,XB,2003.0,Action,Electronic Arts,8342,0.17,0.13,0.04,0.0,0.01
Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,8343,0.17,0.12,0.05,0.0,0.0
Zoo Hospital,Wii,2008.0,Simulation,Majesco Entertainment,8344,0.17,0.14,0.01,0.0,0.01
Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,8345,0.17,0.12,0.05,0.0,0.0
Time and Eternity,PS3,2012.0,Role-Playing,Nippon Ichi Software,8346,0.17,0.06,0.03,0.06,0.02
Major League Baseball 2K9,PS2,2009.0,Sports,Spike,8347,0.17,0.08,0.06,0.0,0.02
Gundam Assault Survive,PSP,2010.0,Action,Namco Bandai Games,8348,0.17,0.0,0.0,0.17,0.0
Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008.0,Misc,Disney Interactive Studios,8349,0.17,0.08,0.06,0.0,0.02
Fate/Stay Night [Réalta Nua],PS2,2007.0,Adventure,Kadokawa Shoten,8350,0.17,0.0,0.0,0.17,0.0
Disney's Home on the Range,GBA,2004.0,Action,Disney Interactive Studios,8351,0.17,0.12,0.04,0.0,0.0
Sid Meier's Civilization IV,PC,2005.0,Strategy,Take-Two Interactive,8352,0.17,0.02,0.12,0.0,0.03
Jikkyou Powerful Pro Yakyuu 2013,PSP,2013.0,Sports,Konami Digital Entertainment,8353,0.17,0.0,0.0,0.17,0.0
Space Griffon VF-9,PS,1995.0,Role-Playing,Panther Software,8354,0.17,0.02,0.02,0.12,0.01
Family Feud Decades,Wii,2010.0,Misc,Ubisoft,8355,0.17,0.16,0.0,0.0,0.01
NBA Live 16,PS4,2015.0,Sports,Electronic Arts,8356,0.17,0.1,0.04,0.0,0.03
CSI: Fatal Conspiracy,X360,2010.0,Adventure,Ubisoft,8357,0.17,0.11,0.04,0.0,0.01
Solitaire Overload Plus,DS,2010.0,Misc,Telegames,8358,0.17,0.16,0.0,0.0,0.01
.hack//G.U. Vol.1//Rebirth,PS2,2006.0,Role-Playing,Namco Bandai Games,8359,0.17,0.0,0.0,0.17,0.0
Gyakuten Saiban 3,GBA,2004.0,Adventure,Capcom,8360,0.17,0.0,0.0,0.16,0.0
Tak: Mojo Mistake,DS,2008.0,Action,THQ,8361,0.17,0.16,0.0,0.0,0.01
Gallop Racer 2001,PS2,2001.0,Sports,Tecmo Koei,8362,0.17,0.05,0.04,0.06,0.01
Nightmare Creatures II,PS,2000.0,Action,Konami Digital Entertainment,8363,0.17,0.09,0.06,0.0,0.01
Marble Saga: Kororinpa,Wii,2009.0,Puzzle,Konami Digital Entertainment,8364,0.17,0.1,0.06,0.0,0.02
Fuzion Frenzy 2,X360,2007.0,Misc,Microsoft Game Studios,8365,0.17,0.14,0.01,0.0,0.01
Catwoman,PS2,2004.0,Action,Electronic Arts,8366,0.17,0.08,0.06,0.0,0.02
Monsters vs. Aliens,X360,2009.0,Action,Activision,8367,0.17,0.12,0.03,0.0,0.01
Country Dance: All Stars,X360,2012.0,Action,GameMill Entertainment,8368,0.17,0.16,0.0,0.0,0.01
Garfield: Lasagna World Tour,PS2,2007.0,Action,Blast! Entertainment Ltd,8369,0.17,0.08,0.06,0.0,0.02
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,8370,0.17,0.12,0.04,0.0,0.0
Disney's Planes,Wii,2013.0,Simulation,Disney Interactive Studios,8371,0.17,0.08,0.07,0.0,0.02
Bomberman Land,Wii,2007.0,Misc,Rising Star Games,8372,0.17,0.11,0.02,0.03,0.01
Bomberman B-Daman,SNES,1996.0,Shooter,Hudson Soft,8373,0.17,0.0,0.0,0.17,0.0
Terminator 3: The Redemption,PS2,2004.0,Shooter,Atari,8374,0.17,0.08,0.06,0.0,0.02
World Destruction League: Thunder Tanks,PS,2000.0,Action,3DO,8375,0.17,0.09,0.06,0.0,0.01
Beat Down: Fists of Vengeance,PS2,2005.0,Action,Capcom,8376,0.17,0.04,0.03,0.09,0.01
Reloaded,PS,1996.0,Action,Gremlin Interactive Ltd,8377,0.17,0.09,0.06,0.0,0.01
Sword of the Samurai,PS2,,Fighting,Ubisoft,8378,0.17,0.0,0.0,0.17,0.0
MotoGP 15,PS4,2015.0,Racing,Milestone S.r.l.,8379,0.17,0.0,0.12,0.03,0.02
SSX On Tour,GC,2005.0,Sports,Electronic Arts,8380,0.17,0.13,0.03,0.0,0.0
Hot Wheels: Beat That!,X360,2007.0,Racing,Activision,8381,0.17,0.15,0.0,0.0,0.01
G-Force,X360,2009.0,Action,Disney Interactive Studios,8382,0.17,0.11,0.05,0.0,0.01
James Bond 007: Everything or Nothing,GBA,2003.0,Shooter,Electronic Arts,8383,0.17,0.12,0.04,0.0,0.0
Naruto Shippuden: Ultimate Ninja 5,PS2,2007.0,Fighting,Namco Bandai Games,8384,0.17,0.0,0.0,0.17,0.0
Shrek Extra Large,GC,2002.0,Platform,TDK Mediactive,8385,0.17,0.13,0.03,0.0,0.0
Final Fantasy V,PS,1998.0,Role-Playing,SquareSoft,8386,0.17,0.0,0.0,0.16,0.01
World Tour Soccer 2006,PS2,2004.0,Sports,Sony Computer Entertainment,8387,0.17,0.08,0.06,0.0,0.02
Gunvalkyrie,XB,2002.0,Shooter,Infogrames,8388,0.17,0.13,0.04,0.0,0.01
NickToons: Racing,PS,2001.0,Racing,Hasbro Interactive,8389,0.17,0.09,0.06,0.0,0.01
VR Golf '97,PS,1996.0,Sports,Gremlin Interactive Ltd,8390,0.17,0.09,0.06,0.0,0.01
Michael Jackson: The Experience 3D,3DS,2011.0,Misc,Ubisoft,8391,0.17,0.13,0.03,0.0,0.01
State of Emergency,XB,2003.0,Action,Take-Two Interactive,8392,0.17,0.13,0.04,0.0,0.01
Digimon Story: Cyber Sleuth,PSV,2015.0,Role-Playing,Namco Bandai Games,8393,0.17,0.0,0.0,0.17,0.0
Off-World Interceptor Extreme,PS,1995.0,Racing,Crystal Dynamics,8394,0.17,0.09,0.06,0.0,0.01
Bakugan Battle Brawlers: Defenders of the Core,Wii,2010.0,Action,Activision,8395,0.17,0.15,0.01,0.0,0.01
Disney Golf,PS2,2002.0,Sports,Electronic Arts,8396,0.17,0.07,0.06,0.02,0.02
The Naked Brothers Band: The Video Game,PS2,2008.0,Misc,THQ,8397,0.17,0.08,0.06,0.0,0.02
Custom Robo Arena,DS,2006.0,Fighting,Nintendo,8398,0.17,0.02,0.02,0.12,0.0
Clock Tower II: The Struggle Within,PS,1998.0,Adventure,Human Entertainment,8399,0.17,0.02,0.01,0.12,0.01
Batman Beyond: Return of the Joker,PS,2000.0,Action,Ubisoft,8400,0.17,0.09,0.06,0.0,0.01
Surf's Up,Wii,2007.0,Sports,Ubisoft,8401,0.17,0.15,0.0,0.0,0.01
Jikkyou Powerful Pro Baseball 2016,PS4,2016.0,Sports,Konami Digital Entertainment,8402,0.17,0.0,0.0,0.17,0.0
Mega Man Network Transmission,GC,2003.0,Platform,Capcom,8403,0.17,0.13,0.03,0.0,0.0
I'm A Celebrity: Get Me Out of Here!,Wii,2009.0,Misc,Mindscape,8404,0.17,0.0,0.16,0.0,0.01
Pursuit Force,PSP,2005.0,Racing,Sony Computer Entertainment,8405,0.17,0.14,0.01,0.0,0.02
Densetsu no Stafi 4,DS,2006.0,Platform,Nintendo,8406,0.17,0.0,0.0,0.17,0.0
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2008.0,Role-Playing,Atlus,8407,0.17,0.0,0.0,0.17,0.0
Naval Assault: The Killing Tide,X360,2010.0,Simulation,505 Games,8408,0.17,0.08,0.07,0.0,0.02
Tokimeki Memorial: Private Collection,PS,1996.0,Misc,Konami Digital Entertainment,8409,0.17,0.0,0.0,0.16,0.01
RC Revenge Pro,PS2,2000.0,Racing,Acclaim Entertainment,8410,0.17,0.08,0.06,0.0,0.02
Valkyria Chronicles,PS4,2016.0,Role-Playing,Sega,8411,0.17,0.06,0.04,0.05,0.02
Hellboy: The Science of Evil,PS3,2008.0,Action,Konami Digital Entertainment,8412,0.17,0.13,0.02,0.0,0.02
Backyard Wrestling: Don't Try This at Home,XB,2003.0,Fighting,Eidos Interactive,8413,0.17,0.13,0.04,0.0,0.01
Zoo Keeper,DS,2004.0,Puzzle,Ignition Entertainment,8414,0.17,0.1,0.01,0.05,0.01
Gauntlet: Dark Legacy,XB,2002.0,Action,Midway Games,8415,0.17,0.13,0.04,0.0,0.01
Toukiden Kiwami,PS4,2015.0,Action,Tecmo Koei,8416,0.17,0.05,0.07,0.02,0.02
Far East of Eden II: Manji Maru,PS2,2003.0,Role-Playing,Hudson Soft,8417,0.17,0.0,0.0,0.17,0.0
Lost Kingdoms,GC,2002.0,Role-Playing,Activision,8418,0.17,0.1,0.02,0.04,0.0
WRC 2: FIA World Rally Championship,PS3,2011.0,Racing,Ubisoft,8419,0.17,0.0,0.13,0.0,0.04
Blood Bowl,X360,2009.0,Sports,Focus Home Interactive,8420,0.17,0.13,0.03,0.0,0.01
Matchbox Cross Town Heroes,GBA,2002.0,Racing,THQ,8421,0.17,0.12,0.04,0.0,0.0
Wolfenstein 3D,GBA,2002.0,Shooter,BAM! Entertainment,8422,0.17,0.12,0.04,0.0,0.0
Nobunaga no Yabou: Tenshoki,SNES,1996.0,Strategy,Tecmo Koei,8423,0.17,0.0,0.0,0.17,0.0
Learning to Spell,DS,2010.0,Misc,505 Games,8424,0.17,0.16,0.0,0.0,0.01
"Go, Diego, Go! Safari Rescue",DS,2007.0,Adventure,Take-Two Interactive,8425,0.17,0.15,0.01,0.0,0.01
Super Power League,SNES,1993.0,Sports,Hudson Soft,8426,0.17,0.0,0.0,0.17,0.0
Easy Piano,DS,2009.0,Misc,Game Life,8427,0.17,0.04,0.11,0.0,0.02
Street Fighter Alpha 2,SNES,1996.0,Fighting,Nintendo,8428,0.17,0.0,0.0,0.17,0.0
Dragon Quest X,3DS,2014.0,Role-Playing,Square Enix,8429,0.17,0.0,0.0,0.17,0.0
Payday 2,XOne,2015.0,Shooter,505 Games,8430,0.17,0.08,0.07,0.0,0.01
25 to Life,XB,2006.0,Shooter,Eidos Interactive,8431,0.17,0.12,0.04,0.0,0.01
Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014.0,Action,Nippon Columbia,8432,0.17,0.0,0.0,0.17,0.0
NASCAR '15,X360,2015.0,Sports,Deep Silver,8433,0.17,0.15,0.0,0.0,0.02
TransFormers Animated: The Game,DS,2008.0,Action,Activision,8434,0.17,0.15,0.01,0.0,0.01
Fracture,PS3,2008.0,Shooter,LucasArts,8435,0.17,0.11,0.04,0.0,0.02
Sega Superstars,PS2,2004.0,Misc,Sega,8436,0.17,0.08,0.06,0.0,0.02
Midway Arcade Treasures,GC,2003.0,Misc,Midway Games,8437,0.17,0.13,0.03,0.0,0.0
Leisure Suit Larry: Magna Cum Laude,XB,2004.0,Adventure,Vivendi Games,8438,0.17,0.12,0.04,0.0,0.01
Mousetrap / Operation / Simon,GBA,2005.0,Misc,DSI Games,8439,0.17,0.12,0.04,0.0,0.0
Klonoa,Wii,2008.0,Platform,Namco Bandai Games,8440,0.17,0.11,0.02,0.03,0.01
Splatterhouse,PS3,,Action,Namco Bandai Games,8441,0.17,0.13,0.02,0.0,0.02
NBA 09: The Inside,PS2,2008.0,Sports,Sony Computer Entertainment,8442,0.17,0.08,0.06,0.0,0.02
Spyro: Shadow Legacy,DS,2005.0,Action,Vivendi Games,8443,0.17,0.14,0.01,0.0,0.01
Resident Evil,SAT,1997.0,Action,Capcom,8444,0.17,0.0,0.0,0.17,0.0
Wildstar,PC,2014.0,Role-Playing,NCSoft,8445,0.17,0.08,0.07,0.0,0.02
Dragon Ball: Fusions,3DS,2016.0,Role-Playing,Namco Bandai Games,8446,0.17,0.0,0.0,0.17,0.0
Apache: Air Assault,X360,2010.0,Simulation,Activision,8447,0.17,0.12,0.04,0.0,0.01
TOEIC Test Training DS,DS,2007.0,Misc,IE Institute,8448,0.17,0.0,0.0,0.17,0.0
Jikkyou Powerful Pro Yakyuu 2014,PS3,2014.0,Sports,Konami Digital Entertainment,8449,0.17,0.0,0.0,0.17,0.0
Senran Kagura: Estival Versus,PS4,2015.0,Action,Marvelous Interactive,8450,0.17,0.07,0.0,0.08,0.02
Itoi Shigesato no Bass Tsuri No. 1,SNES,1997.0,Sports,Nintendo,8451,0.17,0.0,0.0,0.17,0.0
Cubivore: Survival of the Fittest,GC,2002.0,Adventure,Nintendo,8452,0.17,0.01,0.0,0.15,0.0
The Sims 3: Seasons,PC,2012.0,Simulation,Electronic Arts,8453,0.17,0.0,0.13,0.0,0.03
Anarchy Reigns,X360,2012.0,Action,Sega,8454,0.17,0.11,0.02,0.02,0.01
FlatOut,XB,2004.0,Racing,Empire Interactive,8455,0.17,0.12,0.04,0.0,0.01
Project X Zone 2: Brave New World,3DS,2015.0,Role-Playing,Namco Bandai Games,8456,0.17,0.04,0.04,0.08,0.01
NCAA Basketball 09,PS3,2008.0,Sports,Electronic Arts,8457,0.17,0.15,0.0,0.0,0.01
Bakugan Battle Brawlers: Defenders of the Core,PS3,2010.0,Action,Activision,8458,0.17,0.14,0.01,0.0,0.02
Mr. Do!'s Castle,2600,1983.0,Action,Parker Bros.,8459,0.17,0.15,0.01,0.0,0.0
Death Trap,2600,1982.0,Action,Avalon Interactive,8460,0.17,0.15,0.01,0.0,0.0
Armor Ambush,2600,1981.0,Action,Mattel Interactive,8461,0.17,0.15,0.01,0.0,0.0
Parodius,SAT,1995.0,Shooter,Konami Digital Entertainment,8462,0.17,0.0,0.0,0.16,0.0
Thrillville: Off the Rails,X360,2007.0,Strategy,LucasArts,8463,0.16,0.13,0.02,0.0,0.01
Hyperdimension Neptunia Victory,PS3,2012.0,Role-Playing,Compile Heart,8464,0.16,0.05,0.03,0.06,0.02
Taz Wanted,PS2,2002.0,Platform,Atari,8465,0.16,0.08,0.06,0.0,0.02
Mobile Suit Gundam: Extreme VS Force,PSV,2015.0,Action,Namco Bandai Games,8466,0.16,0.0,0.0,0.16,0.0
Sid Meier's Pirates!,Wii,2010.0,Strategy,Take-Two Interactive,8467,0.16,0.13,0.02,0.0,0.01
MLB 16: The Show,PS3,2016.0,Action,Sony Computer Entertainment,8468,0.16,0.13,0.0,0.0,0.03
Phantasy Star Online 2,PSV,2013.0,Role-Playing,Sega,8469,0.16,0.0,0.0,0.16,0.0
Vehicular Combat League presents Motor Mayhem,PS2,2001.0,Racing,Atari,8470,0.16,0.08,0.06,0.0,0.02
PoPoLoCrois: Hajimari no Bouken,PS2,2002.0,Role-Playing,Sony Computer Entertainment,8471,0.16,0.0,0.0,0.16,0.0
Star Wars: Super Bombad Racing,PS2,2001.0,Racing,LucasArts,8472,0.16,0.08,0.06,0.0,0.02
Hamster Heroes,Wii,2008.0,Puzzle,Popcorn Arcade,8473,0.16,0.16,0.0,0.0,0.0
Hot Wheels Velocity X,GBA,2002.0,Racing,THQ,8474,0.16,0.12,0.04,0.0,0.0
Ar Nosurge: Ode to an Unborn Star,PS3,2014.0,Role-Playing,Tecmo Koei,8475,0.16,0.05,0.04,0.06,0.02
Chaotic: Shadow Warriors,PS3,2009.0,Action,Activision,8476,0.16,0.15,0.0,0.0,0.01
Leisure Suit Larry: Box Office Bust,X360,2009.0,Adventure,Codemasters,8477,0.16,0.14,0.01,0.0,0.01
Alien Resurrection,PS,2000.0,Shooter,Fox Interactive,8478,0.16,0.09,0.06,0.0,0.01
World Tour Soccer 2005,PS2,2004.0,Sports,Sony Computer Entertainment,8479,0.16,0.08,0.06,0.0,0.02
Dungeon Siege: Throne of Agony,PSP,2006.0,Role-Playing,Take-Two Interactive,8480,0.16,0.13,0.02,0.0,0.02
Spider-Man: Web of Shadows - Amazing Allies Edition,PSP,2008.0,Action,Activision,8481,0.16,0.12,0.02,0.0,0.02
F1 2011,3DS,2011.0,Racing,Codemasters,8482,0.16,0.07,0.08,0.0,0.02
Rio,DS,2011.0,Misc,THQ,8483,0.16,0.12,0.03,0.0,0.01
Gunslingers,Wii,2010.0,Shooter,Neko Entertainment,8484,0.16,0.08,0.06,0.0,0.02
Create,PS3,2010.0,Action,Electronic Arts,8485,0.16,0.11,0.03,0.0,0.02
Lufia: Curse of the Sinistrals,DS,2010.0,Role-Playing,Square Enix,8486,0.16,0.12,0.0,0.03,0.01
El Shaddai: Ascension of the Metatron,X360,2011.0,Action,Ignition Entertainment,8487,0.16,0.07,0.05,0.03,0.01
ESPN College Hoops,PS2,2003.0,Sports,Sega,8488,0.16,0.08,0.06,0.0,0.02
Thor: God of Thunder,Wii,2011.0,Action,Sega,8489,0.16,0.11,0.04,0.0,0.01
F1 Championship Season 2000,PS2,2000.0,Racing,Electronic Arts,8490,0.16,0.06,0.05,0.03,0.02
Guilty Gear Judgment,PSP,2006.0,Fighting,Majesco Entertainment,8491,0.16,0.13,0.0,0.02,0.01
Pen 1 Grand Prix: Penguin no Mondai Special,DS,2009.0,Fighting,Konami Digital Entertainment,8492,0.16,0.0,0.0,0.16,0.0
Clash of the Titans,X360,2010.0,Action,Namco Bandai Games,8493,0.16,0.08,0.06,0.0,0.02
Around the World in 80 Days,DS,2010.0,Action,PlayV,8494,0.16,0.0,0.14,0.0,0.02
Robotech: Battlecry,GC,2002.0,Shooter,TDK Mediactive,8495,0.16,0.13,0.03,0.0,0.0
True Swing Golf,DS,2005.0,Sports,Nintendo,8496,0.16,0.11,0.0,0.04,0.01
Zapper: One Wicked Cricket!,PS2,2002.0,Platform,Infogrames,8497,0.16,0.08,0.06,0.0,0.02
Bomberman Land,PS,2000.0,Misc,Hudson Soft,8498,0.16,0.0,0.0,0.15,0.01
Paws & Claws: Pet Resort,GBA,2006.0,Simulation,THQ,8499,0.16,0.12,0.04,0.0,0.0
Kya: Dark Lineage,PS2,2003.0,Adventure,Atari,8500,0.16,0.08,0.06,0.0,0.02
Dynasty Warriors 8: Xtreme Legends,PS3,2013.0,Action,Tecmo Koei,8501,0.16,0.02,0.03,0.11,0.01
Curious George,GBA,2006.0,Action,Namco Bandai Games,8502,0.16,0.12,0.04,0.0,0.0
Monster Jam,Wii,2007.0,Racing,Activision,8503,0.16,0.15,0.0,0.0,0.01
Medieval Games,Wii,2009.0,Action,Vir2L Studios,8504,0.16,0.14,0.01,0.0,0.01
Stronghold 3,PC,2011.0,Strategy,,8505,0.16,0.06,0.1,0.0,0.0
The Amazing Spider-Man (Console Version),Wii,2012.0,Action,Activision,8506,0.16,0.11,0.04,0.0,0.01
Kid Adventures: Sky Captain,Wii,2010.0,Action,Unknown,8507,0.16,0.11,0.04,0.0,0.01
Lethal Skies II,PS2,2003.0,Simulation,Sammy Corporation,8508,0.16,0.08,0.06,0.0,0.02
Doctor Lautrec and the Forgotten Knights,3DS,2011.0,Adventure,Konami Digital Entertainment,8509,0.16,0.07,0.05,0.03,0.01
Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006.0,Action,Disney Interactive Studios,8510,0.16,0.15,0.0,0.0,0.01
Godzilla Unleashed,Wii,2007.0,Fighting,Atari,8511,0.16,0.15,0.0,0.0,0.01
Kamaitachi no Yoru × 3,PS2,2006.0,Adventure,Sega,8512,0.16,0.0,0.0,0.16,0.0
Tom and Jerry: Infurnal Escape,GBA,2003.0,Action,Ubisoft,8513,0.16,0.12,0.04,0.0,0.0
The Legend of Heroes VII: The Trail of Zero,PSP,2010.0,Role-Playing,Falcom Corporation,8514,0.16,0.0,0.0,0.16,0.0
Warriors Orochi 3,X360,2011.0,Action,Ubisoft Annecy,8515,0.16,0.09,0.03,0.03,0.01
King's Field,PS,1995.0,Role-Playing,Sony Computer Entertainment,8516,0.16,0.09,0.06,0.0,0.01
Hannah Montana: Rock Out the Show,PSP,2009.0,Misc,Disney Interactive Studios,8517,0.16,0.13,0.01,0.0,0.02
Let's Ride: Sunshine Stables,GBA,2005.0,Sports,DTP Entertainment,8518,0.16,0.12,0.04,0.0,0.0
World Stadium 4,PS,2000.0,Sports,Namco Bandai Games,8519,0.16,0.0,0.0,0.15,0.01
Midway Arcade Treasures 2,GC,2004.0,Misc,Midway Games,8520,0.16,0.13,0.03,0.0,0.0
Hot Wheels World Race,GC,2003.0,Racing,THQ,8521,0.16,0.13,0.03,0.0,0.0
San Goku Shi Taisen DS,DS,2007.0,Strategy,Sega,8522,0.16,0.0,0.0,0.16,0.0
Kawa no Nushi Tsuri,PS,1998.0,Sports,Victor Interactive,8523,0.16,0.0,0.0,0.15,0.01
N2O: Nitrous Oxide,PS,1998.0,Racing,Gremlin Interactive Ltd,8524,0.16,0.09,0.06,0.0,0.01
Magic: The Gathering - Battlegrounds,XB,2003.0,Strategy,Atari,8525,0.16,0.12,0.03,0.0,0.01
Heroes over Europe,PS3,2009.0,Simulation,Ubisoft,8526,0.16,0.12,0.02,0.0,0.02
Dancing With The Stars,PS2,2007.0,Misc,Activision,8527,0.16,0.08,0.06,0.0,0.02
Major League Baseball 2K12,Wii,2012.0,Sports,Take-Two Interactive,8528,0.16,0.15,0.0,0.0,0.01
Pro Evolution Soccer 2015,X360,2014.0,Sports,Konami Digital Entertainment,8529,0.16,0.05,0.1,0.0,0.01
Bladestorm: Nightmare,PS4,2015.0,Action,Tecmo Koei,8530,0.16,0.07,0.04,0.03,0.02
Otogirisou,SNES,1992.0,Adventure,ChunSoft,8531,0.16,0.0,0.0,0.16,0.0
SD Gundam G Generation 3D,3DS,2011.0,Role-Playing,Namco Bandai Games,8532,0.16,0.0,0.0,0.16,0.0
Crash Tag Team Racing,GC,2005.0,Racing,Vivendi Games,8533,0.16,0.12,0.03,0.0,0.0
Grease Dance,X360,2011.0,Misc,505 Games,8534,0.16,0.11,0.03,0.0,0.01
Ready 2 Rumble Revolution,Wii,2009.0,Sports,Atari,8535,0.16,0.15,0.0,0.0,0.01
My Baby 3 & Friends,DS,2010.0,Simulation,Majesco Entertainment,8536,0.16,0.13,0.02,0.0,0.01
NASCAR '14,X360,2014.0,Racing,Deep Silver,8537,0.16,0.15,0.0,0.0,0.01
TimeSplitters: Future Perfect,XB,2005.0,Shooter,Electronic Arts,8538,0.16,0.12,0.03,0.0,0.01
Midway Arcade Treasures 3,PS2,2005.0,Misc,Midway Games,8539,0.16,0.08,0.06,0.0,0.02
Dr. Muto,PS2,2002.0,Platform,Midway Games,8540,0.16,0.08,0.06,0.0,0.02
Beowulf: The Game,PS3,2007.0,Action,Ubisoft,8541,0.16,0.14,0.01,0.0,0.01
Puzzle Quest: Galactrix,DS,2009.0,Puzzle,D3Publisher,8542,0.16,0.15,0.0,0.0,0.01
DS Rakubiki Jiten,DS,2005.0,Misc,Nintendo,8543,0.16,0.0,0.0,0.16,0.0
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PS2,2005.0,Adventure,Activision,8544,0.16,0.08,0.06,0.0,0.02
Fatal Frame II: Crimson Butterfly,PS2,2003.0,Action,Ubisoft,8545,0.16,0.08,0.06,0.0,0.02
Angry Birds Trilogy,PS3,2012.0,Action,Activision,8546,0.16,0.12,0.02,0.0,0.02
Dewy's Adventure,Wii,2007.0,Platform,Konami Digital Entertainment,8547,0.16,0.14,0.0,0.01,0.01
Shadow Man: 2econd Coming,PS2,2002.0,Adventure,Acclaim Entertainment,8548,0.16,0.08,0.06,0.0,0.02
Yu-Gi-Oh! 5D's Tag Force 6,PSP,2011.0,Strategy,Konami Digital Entertainment,8549,0.16,0.0,0.0,0.16,0.0
NPPL: Championship Paintball 2009,PS3,2008.0,Shooter,Activision Value,8550,0.16,0.15,0.0,0.0,0.01
Dynasty Warriors 4,XB,2003.0,Action,Tecmo Koei,8551,0.16,0.12,0.03,0.0,0.01
Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003.0,Sports,Activision,8552,0.16,0.08,0.06,0.0,0.02
The Incredibles: Rise of the Underminer,GC,2005.0,Action,THQ,8553,0.16,0.12,0.03,0.0,0.0
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,SNES,1997.0,Sports,Konami Digital Entertainment,8554,0.16,0.0,0.0,0.16,0.0
Alone in the Dark: The New Nightmare,PS,,Adventure,Infogrames,8555,0.16,0.09,0.06,0.0,0.01
The BIGS,PS3,2007.0,Sports,Take-Two Interactive,8556,0.16,0.15,0.0,0.0,0.01
Flushed Away,GC,2006.0,Platform,D3Publisher,8557,0.16,0.12,0.03,0.0,0.0
Eragon,DS,2006.0,Action,Vivendi Games,8558,0.16,0.13,0.02,0.0,0.01
Scarface: Money. Power. Respect.,PSP,2006.0,Strategy,Vivendi Games,8559,0.16,0.15,0.0,0.0,0.01
Summon Night EX-Thesis: Yoake no Tsubasa,PS2,2005.0,Role-Playing,Banpresto,8560,0.16,0.0,0.0,0.16,0.0
Pro Yaky? Spirits 3,PS2,2006.0,Sports,Konami Digital Entertainment,8561,0.16,0.0,0.0,0.16,0.0
Silent Scope 3,PS2,2002.0,Shooter,Konami Digital Entertainment,8562,0.16,0.08,0.06,0.0,0.02
World Series of Poker: Tournament of Champions 2007 Edition,X360,2006.0,Misc,Activision,8563,0.16,0.15,0.0,0.0,0.01
NASCAR Heat 2002,GBA,2002.0,Racing,Infogrames,8564,0.16,0.12,0.04,0.0,0.0
Namco Classic Fighter Collection,PS2,2008.0,Fighting,Namco Bandai Games,8565,0.16,0.08,0.06,0.0,0.02
International Superstar Soccer Deluxe,SNES,1995.0,Sports,Konami Digital Entertainment,8566,0.16,0.0,0.0,0.16,0.0
TNA iMPACT!,Wii,2008.0,Fighting,Midway Games,8567,0.16,0.14,0.01,0.0,0.01
Intellivision Lives!,PS2,2003.0,Misc,Play It,8568,0.16,0.08,0.06,0.0,0.02
Field Commander,PSP,2006.0,Strategy,Sony Online Entertainment,8569,0.16,0.14,0.0,0.0,0.01
Robots,GC,2005.0,Action,Vivendi Games,8570,0.16,0.12,0.03,0.0,0.0
Little League World Series Baseball 2009,Wii,2009.0,Sports,Activision,8571,0.16,0.15,0.0,0.0,0.01
